tissue	phecode	beta	p-value	gene	trait	r2	OR	no of cases	no of controls
Esophagus_Muscularis	X733.6	2.61729	1.71493e-6	LIN7B	Costochondritis	3.00380e-2	2.26230e+0	20	19040
Thyroid	X315.2	1.60153	1.72160e-6	LMF2	Speech and language disorder	2.06161e-1	1.61075e+0	49	22166
Ovary	X172.1	1.31361	1.72870e-6	DPEP1	Melanomas of skin, dx or hx	6.26125e-2	1.21252e+0	586	19049
Esophagus_Muscularis	X306	2.16505	1.74706e-6	QPCTL	Other mental disorder	2.89389e-2	1.51867e+0	80	14456
Cells_Transformed_fibroblasts	X766	-2.77751	1.75290e-6	CCDC114	Neuralgia, neuritis, and radiculitis NOS	3.17553e-2	8.25824e-1	611	20431
Cells_EBV-transformed_lymphocytes	X395	0.304271	1.78395e-6	NIT2	Heart valve disorders	3.58005e-2	1.09557e+0	3571	16709
Liver	X191.11	0.6688	1.80219e-6	B3GAT1	Cancer of brain	7.80425e-2	1.37024e+0	245	22227
Thyroid	X297.2	7.24192	1.81350e-6	PTPRH	Suicide or self-inflicted injury	2.65590e-2	1.91179e+0	69	14456
Brain_Cerebellum	X562.2	-5.85791	1.83770e-6	CALCRL	Diverticulitis	7.00902e-2	7.61724e-1	291	16064
Colon_Sigmoid	X499	-1.7475	1.96774e-6	ARID4A	Cystic fibrosis	4.27639e-2	6.56173e-1	100	23131
Whole_Blood	X429	0.685252	1.99020e-6	KATNAL1	Ill-defined descriptions and complications of heart disease	4.34411e-2	1.16160e+0	1190	15149
Artery_Coronary	X758	3.49907	2.00058e-6	LEPROTL1	Chromosomal anomalies and genetic disorders	6.62350e-2	1.43586e+0	68	22639
Brain_Cerebellum	X802	-0.738407	2.11880e-6	EIF2AK1	Fracture of pelvis	3.40487e-1	7.29221e-1	229	19279
Skin_Sun_Exposed_Lower_leg	X732	-21.4681	2.15234e-6	EIF3D	Osteochondropathies	8.39787e-3	6.50960e-1	34	19040
Adipose_Visceral_Omentum	X272.11	0.737079	2.15909e-6	TMED2	Hypercholesterolemia	5.14737e-2	1.10200e+0	3264	11294
Thyroid	X568	1.01885	2.16008e-6	MMP25	Other disorders of peritoneum	6.20844e-2	1.22333e+0	326	19195
Nerve_Tibial	X562.2	1.75954	2.19790e-6	CALCRL	Diverticulitis	5.19381e-2	1.28674e+0	291	16064
Adipose_Subcutaneous	X627	0.659068	2.24764e-6	VDR	Menopausal and postmenopausal disorders	2.60227e-2	1.13929e+0	1590	7985
Adrenal_Gland	X589	1.68042	2.24857e-6	SCYL3	Abnormal results of function study of kidney	2.82622e-2	1.61676e+0	81	15383
Thyroid	X250.13	1.9948	2.37917e-6	PRSS16	Type 1 diabetes with ophthalmic manifestations	3.90469e-2	1.38029e+0	157	13897
Nerve_Tibial	X381.9	-3.35449	2.39768e-6	ARHGAP15	Otorrhea	3.48215e-2	6.67202e-1	64	20771
Brain_Caudate_basal_ganglia	X395.1	0.280421	2.42708e-6	NIT2	Nonrheumatic mitral valve disorders	2.93830e-1	1.12818e+0	1852	16709
Adrenal_Gland	X871.2	2.2776	2.44144e-6	P2RX3	Open wound of finger(s)	8.41424e-2	1.43434e+0	117	19977
Adrenal_Gland	X276.1	0.554587	2.54384e-6	NEK11	Electrolyte imbalance	6.52853e-2	1.08153e+0	5417	13027
Artery_Aorta	X840.1	-2.75802	2.61248e-6	CUL7	Muscle/tendon sprain	7.58122e-2	6.64867e-1	47	20163
Brain_Nucleus_accumbens_basal_ganglia	X870	0.368301	2.69889e-6	HMGXB3	Open wounds of head; neck; and trunk	9.68968e-2	1.17794e+0	786	19977
Nerve_Tibial	X752.11	1.37941	2.76204e-6	BCHE	Spina bifida	1.70554e-1	1.74013e+0	44	22702
Esophagus_Mucosa	X227.3	1.72979	2.80944e-6	BID	Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch)	1.61557e-2	1.44645e+0	112	22392
Muscle_Skeletal	X740.2	1.09258	2.81433e-6	SP100	Osteoarthrosis, generalized	4.50480e-2	1.18053e+0	822	17243
Esophagus_Mucosa	X758	3.28516	2.83385e-6	LEPROTL1	Chromosomal anomalies and genetic disorders	3.92136e-2	1.45074e+0	68	22639
Muscle_Skeletal	X427.7	-0.473865	2.84299e-6	TACR2	Tachycardia NOS	1.02160e-1	8.97304e-1	2519	10731
Adrenal_Gland	X379.1	3.70756	2.97671e-6	PSEN1	Scleritis and episcleritis	3.44645e-2	1.60645e+0	43	20059
Ovary	X636.2	2.19438	3.11517e-6	KIAA0391	Early onset of delivery	1.02699e-1	1.73109e+0	46	11199
Whole_Blood	X562.2	-2.15839	3.17168e-6	CALCRL	Diverticulitis	2.63223e-2	7.65500e-1	291	16064
Artery_Tibial	X766	-0.456752	3.22649e-6	CCDC114	Neuralgia, neuritis, and radiculitis NOS	1.63041e-1	8.32083e-1	611	20431
Nerve_Tibial	X446.5	-2.98793	3.29882e-6	HYAL1	Giant cell arteritis	1.20546e-1	5.42559e-1	47	16965
Artery_Coronary	X31	108.852	3.37192e-6	GCNT2	Diseases due to other mycobacteria	3.67770e-2	1.14443e+0	45	18352
Testis	X721.1	0.278088	3.39013e-6	TPD52L1	Spondylosis without myelopathy	2.42784e-1	1.13910e+0	1416	17801
Esophagus_Mucosa	X727.8	9.50563	3.40551e-6	PFN2	Plica syndrome	1.19494e-2	3.03411e+0	22	17625
Stomach	X766	-0.734077	3.47571e-6	CCDC114	Neuralgia, neuritis, and radiculitis NOS	1.67087e-1	8.31443e-1	611	20431
Skin_Sun_Exposed_Lower_leg	X758	1.19323	3.53938e-6	LEPROTL1	Chromosomal anomalies and genetic disorders	2.08044e-1	1.46233e+0	68	22639
Nerve_Tibial	X701.1	3.17823	3.56772e-6	BRD9	Keratoderma, acquired	6.35581e-2	1.48468e+0	62	20618
Whole_Blood	X758	1.90724	3.65442e-6	LEPROTL1	Chromosomal anomalies and genetic disorders	8.51528e-2	1.42635e+0	68	22639
Thyroid	X713	3.6593	3.65974e-6	ESRRB	Arthropathy associated with other disorders classified elsewhere	1.44898e-2	1.54993e+0	118	18237
Vagina	X763	0.614161	3.69808e-6	PPWD1	Thoracic or lumbosacral neuritis or radiculitis, unspecified	1.40378e-1	1.20639e+0	667	20431
Whole_Blood	X250.13	2.44084	3.72501e-6	PRSS16	Type 1 diabetes with ophthalmic manifestations	2.09825e-2	1.42126e+0	157	13897
Heart_Left_Ventricle	X285.22	-0.966051	3.74259e-6	B4GALT1	Anemia in neoplastic disease	2.83619e-2	8.60923e-1	772	13144
Heart_Left_Ventricle	X766	-1.21996	3.83773e-6	CCDC114	Neuralgia, neuritis, and radiculitis NOS	9.51899e-2	8.30386e-1	611	20431
Stomach	X613.8	-2.78827	3.87137e-6	DIMT1	Other specified disorders of breast	2.22691e-2	7.60121e-1	168	22039
Brain_Hypothalamus	X164	-3.50599	3.99627e-6	ACTR3C	Cancer of intrathoracic organs	8.94708e-2	5.68859e-1	37	22045
Skin_Not_Sun_Exposed_Suprapubic	X475	-1.20194	4.00843e-6	SEMA5A	Chronic sinusitis	5.32836e-2	8.73841e-1	1201	16459
Cells_Transformed_fibroblasts	X752.11	5.89317	4.03129e-6	BCHE	Spina bifida	2.65071e-2	1.74468e+0	44	22702
Skin_Sun_Exposed_Lower_leg	X736.2	-3.19715	4.03254e-6	CCNY	Acquired deformities of finger	2.53491e-2	6.11216e-1	37	20000
Pituitary	X732	3.14382	4.11992e-6	RGS11	Osteochondropathies	7.59724e-2	1.81531e+0	34	19040
Skin_Sun_Exposed_Lower_leg	X395	0.649825	4.12590e-6	NIT2	Heart valve disorders	5.49945e-2	1.09369e+0	3571	16709
Artery_Tibial	X535.2	1.95439	4.23319e-6	AHRR	Atrophic gastritis	9.49087e-2	1.47584e+0	95	19809
Vagina	X502	19.7711	4.44412e-6	CASC3	Postinflammatory pulmonary fibrosis	1.54032e-1	1.27607e+0	386	13235
Breast_Mammary_Tissue	X701.1	3.11418	4.48262e-6	BRD9	Keratoderma, acquired	3.58768e-2	1.46941e+0	62	20618
Cells_Transformed_fibroblasts	X758	1.23487	4.49059e-6	LEPROTL1	Chromosomal anomalies and genetic disorders	2.45685e-1	1.45229e+0	68	22639
Pituitary	X395	0.296466	4.52380e-6	NIT2	Heart valve disorders	6.23902e-2	1.09310e+0	3571	16709
Artery_Tibial	X758	0.709484	4.52772e-6	LEPROTL1	Chromosomal anomalies and genetic disorders	4.68142e-1	1.42940e+0	68	22639
Heart_Left_Ventricle	X535.1	-3.51202	4.55594e-6	GGA2	Acute gastritis	4.48465e-2	5.47987e-1	26	19809
Liver	X250.25	-0.956446	4.58139e-6	FXYD3	Diabetes type 2 with peripheral circulatory disorders	1.00392e-1	7.50547e-1	262	13897
Heart_Left_Ventricle	X70.9	1.48979	4.63275e-6	PIGB	Hepatitis NOS	4.72697e-2	1.42305e+0	161	19087
Thyroid	X411.4	0.626488	4.67890e-6	IL1A	Coronary atherosclerosis	1.13221e-2	1.08072e+0	6751	13196
Brain_Caudate_basal_ganglia	X562.2	1.39056	4.69103e-6	CYBA	Diverticulitis	5.72235e-2	1.33617e+0	291	16064
Nerve_Tibial	X274	1.93368	4.77031e-6	SLC2A9	Gout and other crystal arthropathies	1.35026e-2	1.14224e+0	1216	21410
Cells_Transformed_fibroblasts	X378.5	5.43671	4.86065e-6	POFUT1	Paralytic strabismus	2.52598e-2	1.59510e+0	60	20059
Brain_Caudate_basal_ganglia	X840.1	-1.44872	4.88592e-6	PTK7	Muscle/tendon sprain	1.54026e-1	6.46723e-1	47	20163
Brain_Caudate_basal_ganglia	X427.3	-2.48076	4.90287e-6	TACR2	Other specified cardiac dysrhythmias	1.29970e-1	8.84740e-1	1754	10731
Esophagus_Muscularis	X255.1	1.70758	4.94583e-6	RNF19B	Adrenal hyperfunction	5.25797e-2	1.58732e+0	103	19664
Breast_Mammary_Tissue	X198.7	1.32489	4.99184e-6	WRAP73	Secondary malignant neoplasm of skin	2.04873e-1	1.41433e+0	178	17297
Nerve_Tibial	X442	0.575485	5.32275e-6	COMT	Other aneurysm	1.92862e-1	1.21841e+0	913	16965
Brain_Cerebellar_Hemisphere	X276.4	-0.384714	5.40565e-6	NSUN4	Acid-base balance disorder	1.19300e-1	8.73877e-1	1331	13027
Artery_Tibial	X522.5	49.439	5.48908e-6	GTF3C1	Periapical abscess	5.00165e-2	1.54763e+0	55	21330
Lung	X870.4	-6.35456	5.53287e-6	ADAP1	Open wound of nose and sinus	4.73863e-2	4.51724e-1	22	19977
Brain_Cortex	X290	-0.513675	5.57851e-6	WDR75	Delirium dementia and amnestic and other cognitive disorders	6.91372e-2	8.78755e-1	955	17533
Adipose_Subcutaneous	X274.1	0.887254	5.59035e-6	SLC2A9	Gout	5.80881e-2	1.15008e+0	1145	21410
Colon_Transverse	X743.2	-1.08404	5.59273e-6	SCMH1	Pathologic fracture	4.53588e-2	8.12405e-1	450	17753
Esophagus_Muscularis	X537	-1.76907	5.59537e-6	LILRB1	Other disorders of stomach and duodenum	1.47915e-2	8.07005e-1	432	19809
Pituitary	X610.3	-4.66842	5.63445e-6	POLR2J	Fibrosclerosis of breast	7.47738e-2	5.12034e-1	29	9098
Skin_Sun_Exposed_Lower_leg	X370.1	-2.85742	5.65317e-6	PPP6R2	Corneal ulcer	8.35000e-2	6.14559e-1	55	20046
Heart_Atrial_Appendage	X961	14.1007	5.89211e-6	GNA15	Poisoning by other anti-infectives	3.87846e-2	1.23454e+0	124	17731
Adrenal_Gland	X610.3	-3.36025	5.92297e-6	POLR2J	Fibrosclerosis of breast	3.58615e-2	4.15465e-1	29	9098
Brain_Cerebellum	X196	-0.914075	5.92936e-6	TMEM30A	Radiotherapy	8.39915e-2	8.01715e-1	352	17297
Adipose_Subcutaneous	X797	15.9866	6.10122e-6	RAB27A	Shock	1.03086e-2	1.16148e+0	798	21736
Spleen	X184.2	-1.23771	6.12747e-6	ARHGAP15	Cancer of other female genital organs	1.12096e-1	5.82766e-1	68	9624
Brain_Hippocampus	X228	1.98121	6.19186e-6	G2E3	Hemangioma and lymphangioma, any site	5.59998e-2	1.48192e+0	150	22676
Adipose_Subcutaneous	X215	-4.06865	6.34507e-6	MTMR7	Other benign neoplasm of connective and other soft tissue	1.49865e-2	5.92433e-1	50	22637
Nerve_Tibial	X642.1	-10.2132	6.36244e-6	STRAP	Preeclampsia and eclampsia	3.82149e-2	6.20692e-1	58	11398
Esophagus_Muscularis	X379.3	-25.1906	6.38356e-6	MAPK8IP2	Aphakia and other disorders of lens	2.37215e-2	6.78057e-1	50	20059
Thyroid	X766	-0.406325	6.39003e-6	CCDC114	Neuralgia, neuritis, and radiculitis NOS	4.49292e-1	8.35370e-1	611	20431
Artery_Tibial	X733.6	5.0493	6.42632e-6	LIN7B	Costochondritis	2.43652e-2	1.73358e+0	20	19040
Lung	X277.7	28.8249	6.66231e-6	MAP3K8	Dysmetabolic syndrome X	2.14452e-2	1.32503e+0	161	22192
Nerve_Tibial	X578	0.547379	6.66236e-6	ETFB	Gastrointestinal hemorrhage	3.27334e-2	1.11360e+0	1950	17765
Testis	X464	0.640925	6.68709e-6	SLC25A3	Acute sinusitis	5.66893e-2	1.12185e+0	1357	17862
Lung	X568	0.718895	6.71578e-6	MMP25	Other disorders of peritoneum	1.42742e-1	1.22280e+0	326	19195
Nerve_Tibial	X766	-0.676163	6.76201e-6	CCDC114	Neuralgia, neuritis, and radiculitis NOS	1.20240e-1	8.36478e-1	611	20431
Heart_Atrial_Appendage	X509.8	-1.15015	6.78039e-6	CCDC61	Dependence on respirator [Ventilator] or supplemental oxygen	7.84690e-2	7.96916e-1	468	13235
Liver	X191.1	0.593688	6.84520e-6	B3GAT1	Cancer of brain and nervous system	7.80425e-2	1.32261e+0	275	22227
Thyroid	X689	0.465677	6.97094e-6	MOV10L1	Disorder of skin and subcutaneous tissue NOS	3.72234e-1	1.25729e+0	374	21863
Heart_Atrial_Appendage	X272.12	-1.20765	6.97143e-6	BRD9	Hyperglyceridemia	2.91390e-2	7.45002e-1	195	11294
Esophagus_Gastroesophageal_Junction	X275.11	-2.97697	6.97965e-6	BTN3A1	Hereditary hemochromatosis	1.14821e-1	3.79072e-1	30	19909
Cells_EBV-transformed_lymphocytes	X270.34	-3.02306	7.00594e-6	PPP4R4	Alpha-1-antitrypsin deficiency	1.72710e-1	4.60318e-1	52	21469
Heart_Atrial_Appendage	X750	1.02711	7.11771e-6	VPS9D1	Digestive congenital anomalies	5.57574e-2	1.23340e+0	384	21786
Whole_Blood	X713	-12.9095	7.20678e-6	PPP3CB	Arthropathy associated with other disorders classified elsewhere	1.65976e-2	7.36216e-1	118	18237
Colon_Sigmoid	X766	-0.63978	7.22027e-6	CCDC114	Neuralgia, neuritis, and radiculitis NOS	2.34832e-1	8.36209e-1	611	20431
Thyroid	X930	-2.99468	7.23670e-6	SEMA5A	Allergic reaction to food	1.09311e-2	6.84773e-1	89	18931
Testis	X355.1	-1.7456	7.28601e-6	GSDMB	Chronic pain syndrome	3.37941e-2	7.81870e-1	257	19768
Brain_Anterior_cingulate_cortex_BA24	X585.2	0.930977	7.29201e-6	LMF1	Renal failure NOS	2.00316e-1	1.20704e+0	574	15383
Artery_Tibial	X562.2	0.481791	7.36397e-6	CALCRL	Diverticulitis	3.50026e-1	1.27077e+0	291	16064
Cells_EBV-transformed_lymphocytes	X274.2	42.505	7.40379e-6	MAT2B	Crystal arthropathies	7.13730e-2	1.33044e+0	68	21410
Adipose_Visceral_Omentum	X425.8	6.15862	7.45048e-6	GRPEL1	Other cardiomyopathy	2.09399e-2	1.67274e+0	49	19395
Adipose_Subcutaneous	X189.11	0.680361	7.50254e-6	DNAH7	Malignant neoplasm of kidney, except pelvis	1.38882e-1	1.25488e+0	460	22100
Thyroid	X250.13	5.21543	7.58566e-6	CUTA	Type 1 diabetes with ophthalmic manifestations	2.73713e-2	1.43974e+0	157	13897
Liver	X191	0.509421	7.66985e-6	B3GAT1	Malignant and unknown neoplasms of brain and nervous system	7.80425e-2	1.27115e+0	368	22227
Testis	X711.1	0.971913	7.70286e-6	HMGXB3	Pyogenic arthritis	1.66727e-1	1.41585e+0	147	18237
Heart_Atrial_Appendage	X220	1.32999	7.82571e-6	LIN7B	Benign neoplasm of ovary	2.03879e-1	1.52368e+0	61	9066
Heart_Left_Ventricle	X750.21	-15.6473	7.82788e-6	PPP1R13B	Congenital anomalies of intestine	3.21989e-2	7.26250e-1	152	21786
Muscle_Skeletal	X347	4.0904	7.84118e-6	ATP6V0B	Cataplexy and narcolepsy	1.44318e-1	1.61342e+0	21	17257
Thyroid	X283.2	3.69171	7.85993e-6	GPD2	Non-autoimmune hemolytic anemias	1.83492e-2	1.42216e+0	36	13144
Pituitary	X384	-1.21867	7.92653e-6	TRAF5	Other disorders of tympanic membrane	1.14233e-1	6.49396e-1	81	20771
Skin_Sun_Exposed_Lower_leg	X562.2	2.3241	7.95063e-6	CYBA	Diverticulitis	1.93639e-2	1.30067e+0	291	16064
Breast_Mammary_Tissue	X452.2	1.44343	7.99200e-6	SLC25A15	Deep vein thrombosis [DVT]	1.97610e-2	1.18442e+0	773	15674
Esophagus_Muscularis	X425.11	-3.81342	8.01013e-6	RAI14	Hypertrophic obstructive cardiomyopathy	1.26239e-2	6.82997e-1	130	19395
Colon_Transverse	X568	-0.503118	8.07207e-6	MDGA1	Other disorders of peritoneum	4.18903e-1	7.74673e-1	326	19195
Whole_Blood	X709.6	2.2977	8.16848e-6	MAEA	Other specified diffuse diseases of connective tissue	7.96165e-2	1.51783e+0	73	19689
Spleen	X758	5.21694	8.18339e-6	LEPROTL1	Chromosomal anomalies and genetic disorders	4.50869e-2	1.40227e+0	68	22639
Brain_Frontal_Cortex_BA9	X359.2	-0.421668	8.21930e-6	PCDHB14	Myopathy	6.34196e-2	8.27254e-1	623	20339
Adipose_Subcutaneous	X870	1.87885	8.27790e-6	HMGXB3	Open wounds of head; neck; and trunk	1.78957e-2	1.16982e+0	786	19977
Esophagus_Mucosa	X228.1	-1.16208	8.32504e-6	CUL7	Hemangioma of skin and subcutaneous tissue	1.77820e-1	7.16795e-1	102	22676
Breast_Mammary_Tissue	X442.8	-3.02107	8.39697e-6	EIF3D	Aneurysm of other specified artery	5.09778e-2	6.60979e-1	82	16965
Whole_Blood	X245	1.48926	8.40966e-6	PGM3	Thyroiditis	9.52427e-3	1.24998e+0	220	17866
Nerve_Tibial	X530	0.34906	8.46566e-6	LEPROTL1	Diseases of esophagus	7.97393e-2	1.07323e+0	5446	13499
Artery_Tibial	X522	47.3693	8.47372e-6	GTF3C1	Diseases of pulp and periapical tissues	5.00165e-2	1.51959e+0	59	21330
Brain_Nucleus_accumbens_basal_ganglia	X283.2	1.38232	8.53672e-6	HAGH	Non-autoimmune hemolytic anemias	4.42123e-1	1.80976e+0	36	13144
Adipose_Subcutaneous	X590	-1.54848	8.57120e-6	ZNF14	Pyelonephritis	8.60567e-2	8.07005e-1	396	16050
Pituitary	X395.1	0.379051	8.57772e-6	NIT2	Nonrheumatic mitral valve disorders	6.23902e-2	1.12054e+0	1852	16709
Testis	X721	0.253345	8.58760e-6	TPD52L1	Spondylosis and allied disorders	2.42784e-1	1.12598e+0	1571	17801
Esophagus_Muscularis	X585.33	-0.973465	8.61600e-6	CNR1	Chronic Kidney Disease, Stage III	3.43985e-2	8.90704e-1	1264	15383
Thyroid	X411	0.58408	8.63223e-6	IL1A	Ischemic Heart Disease	1.13221e-2	1.07505e+0	7603	13196
Esophagus_Gastroesophageal_Junction	X275.1	-1.40947	8.76966e-6	BTN3A1	Disorders of iron metabolism	1.14821e-1	6.31745e-1	109	19909
Esophagus_Mucosa	X172.21	-0.829441	8.80631e-6	ADAP1	Basal cell carcinoma (new)	1.58648e-1	7.74187e-1	313	19049
Heart_Left_Ventricle	X220	1.5924	8.86490e-6	LIN7B	Benign neoplasm of ovary	1.53780e-1	1.54855e+0	61	9066
Nerve_Tibial	X458.9	-0.520245	9.06784e-6	TACR2	Hypotension NOS	1.16981e-1	9.00644e-1	2113	17257
Pancreas	X189.11	0.398196	9.30203e-6	DNAH7	Malignant neoplasm of kidney, except pelvis	4.91562e-1	1.24758e+0	460	22100
Skin_Not_Sun_Exposed_Suprapubic	X766	-0.483449	9.33691e-6	CCDC114	Neuralgia, neuritis, and radiculitis NOS	2.72965e-1	8.36575e-1	611	20431
Prostate	X464	-12.3446	9.33789e-6	BTN2A1	Acute sinusitis	7.17282e-2	8.95508e-1	1357	17862
Artery_Coronary	X346.3	3.5021	9.36591e-6	RARS	Nonspecific abnormal findings in cerebrospinal fluid	7.18509e-2	2.18492e+0	32	17257
Skin_Sun_Exposed_Lower_leg	X433.12	-1.33757	9.38661e-6	FERMT1	Cerebral atherosclerosis	5.71661e-2	7.90068e-1	222	17383
Cells_Transformed_fibroblasts	X512	0.727227	9.39265e-6	ZRANB1	Other symptoms of respiratory system	4.32418e-2	1.06912e+0	10710	9186
Esophagus_Mucosa	X530.15	-4.49957	9.44515e-6	RNF126	Eosinophilic esophagitis	5.99944e-2	4.15961e-1	23	13499
Pancreas	X458.9	-0.88972	9.44609e-6	TACR2	Hypotension NOS	8.65602e-2	9.01997e-1	2113	17257
Heart_Left_Ventricle	X241	0.879488	9.51080e-6	RAD51C	Nontoxic nodular goiter	2.26888e-2	1.19695e+0	692	17866
Nerve_Tibial	X250.13	2.58219	9.62483e-6	PRSS16	Type 1 diabetes with ophthalmic manifestations	1.79632e-2	1.38495e+0	157	13897
Brain_Cortex	X381.1	-0.682095	9.71795e-6	TCTN3	Otitis media	1.19237e-1	8.07145e-1	481	20771
Thyroid	X575.7	-4.31311	9.72011e-6	TARBP1	Other disorders of gallbladder	1.22345e-2	7.11651e-1	97	20771
