tissue	phecode	beta	p-value	gene	trait	r2	no of cases	no of controls
Breast-MammaryTissue	X969	-5.09964	5.66076e-7	ATP7B	Poisoning by psychotropic agents	1.69055e-1	25	6561
Skin-SunExposed-Lowerleg	X523.3	-20.1226	5.73976e-7	ATP5B	Periodontitis (acute or chronic)	3.87967e-3	43	8243
Heart-AtrialAppendage	X522	-60.7986	6.23037e-7	AMD1	Diseases of pulp and periapical tissues	9.26845e-3	39	8243
Pancreas	X795	41.9822	6.29644e-7	AURKB	Other and nonspecific abnormal cytological, histological and immunological findings	3.31723e-2	54	8967
Brain-Cerebellum	X513.8	-5.13373	6.59908e-7	ALOX5AP	Disorders of diaphragm	1.35071e-2	33	7861
Nerve-Tibial	X800.2	32.6173	7.23521e-7	C2CD2	Fracture of unspecified part of femur	1.00182e-2	135	7283
Liver	X798.1	7.653	7.28467e-7	ACSS3	Chronic fatigue syndrome	6.50926e-2	20	4755
Heart-AtrialAppendage	X292.5	-5.33088	7.56139e-7	BTBD7	Transient alteration of awareness	2.33838e-2	38	6654
AdrenalGland	X871.3	-35.7172	7.69035e-7	CALCOCO2	Open wound of foot except toe(s) alone	2.46047e-3	38	7534
Pituitary	X740.1	11.4618	9.09506e-7	ATP2A2	Osteoarthritis; localized	2.11993e-2	684	6692
SmallIntestine-TerminalIleum	X740.1	1.50541	9.09506e-7	ATP2A2	Osteoarthritis; localized	1.56468e-1	684	6692
Heart-LeftVentricle	X292.6	-6.91415	9.29937e-7	C1orf210	Hallucinations	1.45438e-3	31	6654
Lung	X338.1	0.695782	9.32586e-7	ACSM1	Acute pain	1.07590e-1	769	7363
Heart-AtrialAppendage	X522.5	-61.2078	1.00095e-6	AMD1	Periapical abscess	9.26845e-3	37	8243
Brain-Putamen-basalganglia	X270.38	-0.532013	1.02978e-6	ARHGAP19	Other specified disorders of plasma protein metabolism	5.26530e-2	42	8239
Thyroid	X153	-1.50081	1.03503e-6	ANXA9	Colorectal cancer	4.14004e-2	302	7198
Thyroid	X153.2	-1.61855	1.11152e-6	ANXA9	Colon cancer	4.14004e-2	252	7198
Liver	X736	1.17167	1.11815e-6	C8orf86	Other acquired deformities of limbs	1.05464e-1	53	7256
Lung	X250.13	4.70564	1.13066e-6	C2	Type 1 diabetes with ophthalmic manifestations	6.70642e-3	98	4936
Skin-NotSunExposed-Suprapubic	X253.1	-99.4379	1.14055e-6	ABHD5	Pituitary hyperfunction	4.53239e-3	33	7558
AdrenalGland	X958.1	-52.8507	1.24346e-6	ANXA9	Postoperative shock	2.68930e-3	35	8713
Esophagus-Mucosa	X370.1	-47.2048	1.25333e-6	ATOH8	Corneal ulcer	3.81627e-3	23	7798
Artery-Tibial	X279.7	6.75173	1.25403e-6	CALCOCO2	Other immunological findings	7.29554e-3	58	8183
Brain-Anteriorcingulatecortex-BA24	X394.2	32.8904	1.26446e-6	C15orf54	Mitral valve disease	5.52337e-2	83	7079
Colon-Transverse	X297.1	-14.5745	1.37749e-6	ACOXL	Suicidal ideation	1.31995e-3	44	5392
Pituitary	X740.11	12.4274	1.38968e-6	ATP2A2	Osteoarthrosis, localized, primary	2.11993e-2	501	6692
SmallIntestine-TerminalIleum	X740.11	1.63222	1.38968e-6	ATP2A2	Osteoarthrosis, localized, primary	1.56468e-1	501	6692
Testis	X523.31	11.8777	1.45160e-6	ATP6V1C1	Acute periodontitis	1.21974e-2	28	8243
Brain-Putamen-basalganglia	X681.5	10.6892	1.46802e-6	BCL2L2	Cellulitis and abscess of leg, except foot	1.39781e-3	374	6905
Brain-Caudate-basalganglia	X414.2	-2.48496	1.47212e-6	CACNG6	ASCVD	1.84660e-2	94	5786
Skin-NotSunExposed-Suprapubic	X253.2	-88.9629	1.47755e-6	ABHD5	Pituitary hypofunction	4.53239e-3	45	7558
Esophagus-GastroesophagealJunction	X974	13.0196	1.48414e-6	C14orf1	Poisoning by water, mineral, and uric acid metabolism drugs	8.01236e-2	73	6561
Adipose-Subcutaneous	X969	-2.81241	1.50354e-6	ATP7B	Poisoning by psychotropic agents	2.72515e-1	25	6561
Liver	X246.7	2.59104	1.53731e-6	C15orf59	Abnormal results of function study of thyroid	3.05911e-2	28	7001
Skin-SunExposed-Lowerleg	X149.5	-3.44917	1.54451e-6	CAPN11	Hx of malignant neoplasm of oral cavity and pharynx	1.00345e-2	100	8031
Cells-Transformedfibroblasts	X600	-1.54139	1.55435e-6	APOBEC2	Hyperplasia of prostate	4.04920e-2	513	7335
Colon-Sigmoid	X681.3	-0.929447	1.61355e-6	ARSA	Cellulitis and abscess of arm/hand	1.25368e-1	171	6905
Adipose-Subcutaneous	X370.3	3.13865	1.65548e-6	ARHGAP31	Keratoconjunctivitis	7.13951e-3	118	7798
Colon-Sigmoid	X713.5	29.4028	1.65581e-6	BAP1	Arthropathy associated with neurological disorders	6.70648e-3	58	7311
Brain-Anteriorcingulatecortex-BA24	X601.1	18.9103	1.67477e-6	CASP2	Prostatitis	3.33046e-2	65	7335
Pituitary	X613.8	21.4635	1.68082e-6	ATP2A2	Other specified disorders of breast	2.11993e-2	81	8018
SmallIntestine-TerminalIleum	X613.8	2.81904	1.68082e-6	ATP2A2	Other specified disorders of breast	1.56468e-1	81	8018
Brain-Hypothalamus	X442.8	-0.12669	1.68251e-6	A4GALT	Aneurysm of other specified artery	4.55681e-2	38	6676
Artery-Coronary	X495.2	12.3948	1.68829e-6	ANKRD18B	Asthma with exacerbation	1.54465e-2	105	6820
Stomach	X337.1	-11.9185	1.71967e-6	ANXA10	Peripheral autonomic neuropathy	7.15308e-3	48	6544
Brain-Hypothalamus	X619.1	-0.206917	1.72575e-6	ATG7	Noninflammatory disorders of ovary, fallopian tube, and broad ligament	1.03197e-1	31	8667
Brain-Cortex	X619.2	-9.88577	1.75357e-6	ASH1L	Disorders of uterus, NEC	2.93642e-2	23	8667
Adipose-Subcutaneous	X362.2	-5.14888	1.76413e-6	ARHGAP33	Degeneration of macula and posterior pole of retina	1.00451e-3	295	7724
Pituitary	X253.1	-6.07442	1.77900e-6	ALG2	Pituitary hyperfunction	2.42188e-2	33	7558
Heart-LeftVentricle	X297.1	3.3054	1.80675e-6	ACOX3	Suicidal ideation	2.64421e-2	44	5392
Artery-Tibial	X731	10.0428	1.81108e-6	ANKRD13B	Osteitis deformans and osteopathies associated with other disorders classified elsewhere	7.62480e-3	23	8372
Brain-Hypothalamus	X287.31	0.0440973	1.81794e-6	BTG2	Primary thrombocytopenia	5.73407e-2	34	5981
Brain-FrontalCortex-BA9	X81.12	-21.4643	1.85916e-6	ARFGAP2	Chronic graft-versus-host disease	4.07952e-2	24	7508
Stomach	X738.4	4.90752	1.88181e-6	ADAM7	Acquired spondylolisthesis	8.84519e-3	117	7256
Stomach	X530.2	-22.2876	1.89714e-6	ATRNL1	Esophageal bleeding (varices/hemorrhage)	6.46047e-2	120	5130
Brain-Anteriorcingulatecortex-BA24	X802	0.0154536	1.90061e-6	CA12	Fracture of pelvis	1.06792e-1	137	7283
Muscle-Skeletal	X736.6	6.6632	1.92883e-6	ABLIM3	Unequal leg length (acquired)	3.04966e-2	20	7256
Adipose-Subcutaneous	X250.1	2.4777	1.93029e-6	C2	Type 1 diabetes	4.17992e-3	816	4936
Stomach	X818.2	-30.6676	1.95402e-6	BCKDK	Subarachnoid hemorrhage (injury)	2.66763e-2	37	8639
Stomach	X226	4.79913	1.95531e-6	AKAP5	Benign neoplasm of thyroid glands	4.13872e-2	23	8574
Brain-Hypothalamus	X290.16	-0.0181133	1.98695e-6	AGAP4	Vascular dementia	1.36660e-1	54	6654
Brain-Hypothalamus	X782.6	-6.68802	2.00647e-6	ARV1	Pallor and flushing	5.32079e-3	29	6796
Testis	X624.9	1.52745	2.01611e-6	ASF1A	stress incontinence, female	4.25993e-2	172	8364
Brain-Caudate-basalganglia	X351	3.33968	2.05050e-6	ADRA2A	Other peripheral nerve disorders	2.63943e-3	660	7504
Skin-SunExposed-Lowerleg	X872	-21.1564	2.05660e-6	ATP5B	Traumatic amputation	3.87967e-3	46	7534
Muscle-Skeletal	X649	-27.3063	2.07957e-6	BAX	Other conditions or status of the mother complicating pregnancy, childbirth, or the puerperium	1.25759e-2	88	8965
Nerve-Tibial	X656.2	36.5955	2.12156e-6	C2CD2	Respiratory conditions of fetus and newborn	1.00182e-2	43	9027
Skin-SunExposed-Lowerleg	X337.1	-19.7364	2.14717e-6	ATP5B	Peripheral autonomic neuropathy	3.87967e-3	48	6544
Muscle-Skeletal	X969	-7.44537	2.15164e-6	ATP7B	Poisoning by psychotropic agents	8.92727e-2	25	6561
Ovary	X969	-4.86889	2.15164e-6	ATP7B	Poisoning by psychotropic agents	2.26089e-1	25	6561
AdrenalGland	X795.81	-34.4327	2.15611e-6	ALG6	Elevated carcinoembryonic antigen [CEA]	6.84055e-2	38	8967
Pituitary	X523.31	-1.87043	2.18251e-6	BAZ2A	Acute periodontitis	3.66846e-2	28	8243
Skin-SunExposed-Lowerleg	X803.3	-20.3636	2.20474e-6	ATP5B	Fracture of clavicle or scapula	3.87967e-3	69	7283
Brain-Nucleusaccumbens-basalganglia	X536.7	-2.96053	2.21047e-6	C1orf21	Complications of gastrostomy, colostomy and enterostomy	1.62248e-2	114	7579
Testis	X706.1	-4.49988	2.26062e-6	BUD31	Acne	2.52899e-3	90	8052
Cells-EBV-transformedlymphocytes	X818.2	61.4235	2.27055e-6	BCKDK	Subarachnoid hemorrhage (injury)	6.14828e-3	37	8639
Artery-Tibial	X184.11	-22.3542	2.27384e-6	C14orf159	Malignant neoplasm of ovary	8.86816e-3	85	7989
Brain-Hippocampus	X701.4	6.58346	2.28993e-6	AACS	Keloid scar	5.23157e-2	25	7128
Brain-Cerebellum	X327.1	8.35319	2.32026e-6	AP4E1	Hypersomnia	1.02462e-3	33	6920
Cells-Transformedfibroblasts	X691	2.82843	2.40544e-6	ANKRD36	Congenital anomalies of skin	1.00685e-1	41	7590
Pancreas	X327.3	-1.36562	2.41282e-6	ANKAR	Sleep apnea	6.28782e-3	807	6920
SmallIntestine-TerminalIleum	X621	2.29703	2.42452e-6	ATP6V0E2	Endometrial hyperplasia	9.21136e-2	24	8951
Colon-Sigmoid	X713	28.7141	2.44431e-6	BAP1	Arthropathy associated with other disorders classified elsewhere	6.70648e-3	64	7311
Adipose-Subcutaneous	X519.1	-120.576	2.50167e-6	BLCAP	Tracheostomy complications	2.40857e-3	25	8048
Brain-Hypothalamus	X592.11	33.8104	2.63200e-6	C14orf159	Acute cystitis	1.28706e-2	21	5793
Brain-Hippocampus	X250.3	1.7599	2.71109e-6	C2	Insulin pump user	1.10096e-3	680	4936
Pituitary	X523.3	-1.77397	2.71819e-6	BAZ2A	Periodontitis (acute or chronic)	3.66846e-2	43	8243
Colon-Sigmoid	X712	-2.98024	2.80778e-6	ARMC2	Infective connective tissue disorders	7.98002e-2	32	7311
Artery-Tibial	X969	-3.5654	2.88453e-6	ATP7B	Poisoning by psychotropic agents	2.40093e-1	25	6561
Heart-AtrialAppendage	X368.2	-8.41088	2.92774e-6	CACHD1	Diplopia and disorders of binocular vision	5.53932e-2	103	8248
Adipose-Subcutaneous	X370.31	3.28638	2.93403e-6	ARHGAP31	Keratoconjunctivitis sicca	7.13951e-3	101	7798
Brain-CerebellarHemisphere	X190	3.55569	2.96305e-6	ACOT4	Cancer of eye	3.34855e-2	24	8655
AdrenalGland	X795.81	-2.28119	2.99274e-6	AGA	Elevated carcinoembryonic antigen [CEA]	2.33186e-1	38	8967
AdrenalGland	X691	1.96999	2.99345e-6	ANKRD36	Congenital anomalies of skin	7.65644e-2	41	7590
Muscle-Skeletal	X290.2	4.94499	3.02982e-6	CASP3	Delirium due to conditions classified elsewhere	4.23289e-3	184	6654
Brain-Cortex	X593.2	4.66067	3.03103e-6	ARHGEF33	Microscopic hematuria	3.31456e-2	60	5793
Cells-Transformedfibroblasts	X429.3	-1.62812	3.06185e-6	C12orf49	Symptoms involving cardiovascular system	8.57096e-3	157	6286
Breast-MammaryTissue	X514.1	2.73217	3.07011e-6	ANKRD11	Abnormal results of function study of pulmonary system	7.90177e-3	24	7886
Ovary	X593.2	5.70717	3.13733e-6	CAD	Microscopic hematuria	2.35968e-3	60	5793
Heart-LeftVentricle	X595	-0.53531	3.16403e-6	AACS	Hydronephrosis	8.15571e-2	248	7352
Cells-EBV-transformedlymphocytes	X573.3	1.47174	3.18990e-6	ARSI	Hepatomegaly	1.93166e-2	40	6421
Thyroid	X969	-3.26435	3.21733e-6	ATP7B	Poisoning by psychotropic agents	2.53779e-1	25	6561
Esophagus-Mucosa	X531.4	-56.9586	3.24981e-6	BCL2L15	Peptic ulcer, site unspecified	2.01567e-2	81	8568
Artery-Tibial	X574.12	4.18742	3.28027e-6	BOD1L1	Cholelithiasis with other cholecystitis	9.80032e-3	51	8056
Brain-Anteriorcingulatecortex-BA24	X300.12	0.0473243	3.31858e-6	ADAM8	Agorophobia, social phobia, and panic disorder	5.64247e-2	87	5392
Esophagus-Muscularis	X681.3	-0.589647	3.34566e-6	ARSA	Cellulitis and abscess of arm/hand	1.68879e-1	171	6905
Brain-Putamen-basalganglia	X499	3.48967	3.39600e-6	CAPZA2	Cystic fibrosis	7.32238e-2	71	9033
Nerve-Tibial	X855	8.73958	3.43044e-6	ATP5F1	Complication of nervous system device, implant, and graft	5.43604e-3	81	6685
SmallIntestine-TerminalIleum	X250.14	0.746035	3.43228e-6	C2	Type 1 diabetes with neurological manifestations	6.85815e-2	168	4936
Breast-MammaryTissue	X331.1	2.57681	3.43625e-6	ANKRD35	Hydrocephalus	3.41626e-2	134	6544
Cells-Transformedfibroblasts	X627.1	-6.66625	3.44644e-6	ARHGAP19	Postmenopausal bleeding	1.11918e-3	87	7657
Esophagus-Mucosa	X737	-2.42828	3.58651e-6	C14orf178	Curvature of spine	4.55136e-3	174	7256
Testis	X198	-0.260199	3.62411e-6	ANKRD45	Secondary malignant neoplasm	4.36967e-1	1030	6274
Heart-AtrialAppendage	X958.2	-236.834	3.64403e-6	ATF5	Traumatic and surgical subcutaneous emphysema	2.14074e-2	52	8713
Heart-AtrialAppendage	X386	15.4519	3.66208e-6	AGMO	Vertiginous syndromes and other disorders of vestibular system	7.71216e-3	160	7565
Heart-LeftVentricle	X586.4	-0.668883	3.72290e-6	AACS	Stricture/obstruction of ureter	8.15571e-2	105	5644
Esophagus-Mucosa	X728.1	-10.3508	3.81027e-6	ATXN7L2	Muscular calcification and ossification	2.55006e-3	20	6730
Brain-Cerebellum	X430.1	0.38529	3.85928e-6	C16orf96	Subarachnoid hemorrhage	1.07497e-2	51	6934
Testis	X362	-0.410407	3.87096e-6	ARMS2	Other retinal disorders	4.20083e-1	496	7724
Pituitary	X204.12	2.466	3.88579e-6	ANKS4B	Lymphoid leukemia, chronic	4.56309e-2	86	8016
Ovary	X509.5	-0.40879	3.96489e-6	BLK	Respiratory arrest	4.07537e-2	25	5061
Cells-Transformedfibroblasts	X446.4	17.104	3.96835e-6	ABCG2	Wegener's granulomatosis	1.69648e-3	30	6676
Pituitary	X540.11	3.0089	3.99435e-6	APBB3	Acute appendicitis	3.40004e-2	38	9038
Artery-Coronary	X300.11	-1.0041	4.13524e-6	AGAP4	Generalized anxiety disorder	2.26487e-1	118	5392
Brain-Anteriorcingulatecortex-BA24	X627.22	6.07092	4.16123e-6	CALML5	Need for Hormone replacement therapy (postmenopausal)	2.27053e-2	37	7657
Artery-Coronary	X366	-0.439996	4.20323e-6	B4GALNT3	Cataract	1.83136e-1	965	7805
Heart-LeftVentricle	X560.2	-0.760491	4.21065e-6	AACS	Impaction of intestine	8.15571e-2	28	5956
Brain-Putamen-basalganglia	X610.4	5.87181	4.21857e-6	ALPP	Benign neoplasm of breast	3.25642e-2	21	7907
Cells-Transformedfibroblasts	X627.22	7.43857	4.24748e-6	C2orf71	Need for Hormone replacement therapy (postmenopausal)	2.74304e-3	37	7657
Colon-Sigmoid	X969	-4.29911	4.27258e-6	ATP7B	Poisoning by psychotropic agents	1.53160e-1	25	6561
Lung	X317	-2.03593	4.27316e-6	ATP7B	Alcohol-related disorders	7.46290e-2	262	7008
Brain-Hippocampus	X250.7	2.85202	4.28277e-6	C2	Diabetic retinopathy	1.10096e-3	274	4644
Artery-Tibial	X962.1	-8.22349	4.28375e-6	ATXN7	Adrenal cortical steroids causing adverse effects in therapeutic use	6.93214e-3	94	6561
Brain-Anteriorcingulatecortex-BA24	X612	2.32603	4.30545e-6	CACNA1I	Breast conditions, congenital or relating to hormones	2.99920e-2	62	8140
Esophagus-Muscularis	X758.1	-18.6696	4.36679e-6	ALDH1L2	Chromosomal anomalies	6.02658e-3	21	8947
Heart-AtrialAppendage	X681.3	-0.575782	4.39582e-6	ARSA	Cellulitis and abscess of arm/hand	3.01275e-1	171	6905
Brain-Putamen-basalganglia	X228	2.40108	4.43914e-6	BLK	Hemangioma and lymphangioma, any site	4.73552e-2	60	8746
Brain-Anteriorcingulatecortex-BA24	X379.3	-0.0208681	4.46158e-6	APMAP	Aphakia and other disorders of lens	3.60108e-2	20	7801
Cells-Transformedfibroblasts	X969	-2.54589	4.47165e-6	ATP7B	Poisoning by psychotropic agents	4.31187e-1	25	6561
Brain-Cerebellum	X749	-3.50839	4.49269e-6	AGBL5	Congenital anomalies of face and neck	8.14070e-3	28	8994
Brain-Nucleusaccumbens-basalganglia	X818.2	0.620088	4.57380e-6	BCKDK	Subarachnoid hemorrhage (injury)	2.10145e-2	37	8639
Brain-CerebellarHemisphere	X473.3	-8.71331	4.64539e-6	C2orf69	Paralysis/spasm of vocal cords or larynx	1.43008e-2	56	6193
Brain-Cortex	X250.7	4.39616	4.64938e-6	BRD2	Diabetic retinopathy	3.08445e-2	274	4644
Brain-Caudate-basalganglia	X728	-0.0370319	4.67655e-6	BACE1	Disorders of muscle, ligament, and fascia	1.34924e-2	27	6730
Skin-SunExposed-Lowerleg	X525	-17.8839	4.76996e-6	ATP5B	Other diseases of the teeth and supporting structures	3.87967e-3	78	8243
Colon-Transverse	X172	4.7922	4.77033e-6	CA12	Skin cancer	1.04214e-2	896	7391
Lung	X362.26	-1.32456	4.83086e-6	B4GALT6	Macular puckering of retina	2.83214e-2	81	7724
SmallIntestine-TerminalIleum	X250.12	0.804859	4.89401e-6	C2	Type 1 diabetes with renal manifestations	6.85815e-2	137	4936
Nerve-Tibial	X709.6	2.38826	4.89811e-6	APAF1	Other specified diffuse diseases of connective tissue	1.74415e-1	24	8930
Colon-Sigmoid	X709.6	4.96096	4.90056e-6	APAF1	Other specified diffuse diseases of connective tissue	3.48413e-2	24	8930
Pituitary	X560.1	-9.51832	4.92255e-6	ANKRD33	Paralytic ileus	3.57233e-2	223	5956
Brain-Nucleusaccumbens-basalganglia	X362.21	0.0297502	4.92267e-6	C15orf40	Macular degeneration, dry	1.51139e-1	71	7724
Artery-Coronary	X743.9	1.03537	4.95041e-6	ADO	Osteopenia or other disorder of bone and cartilage	1.23164e-3	693	6588
Brain-CerebellarHemisphere	X368.9	-11.361	4.99044e-6	ANGPT2	Subjective visual disturbances	7.96321e-2	79	8248
Muscle-Skeletal	X636.3	-32.3419	5.02055e-6	BAX	Hemorrhage in early pregnancy	1.25759e-2	33	8943
Nerve-Tibial	X656	34.1908	5.06693e-6	C2CD2	Other perinatal conditions of fetus or newborn	1.00182e-2	54	9027
Spleen	X411.1	-0.478084	5.07310e-6	C10orf111	Unstable angina (intermediate coronary syndrome)	1.33473e-1	477	5786
Muscle-Skeletal	X389.2	5.43823	5.08757e-6	ANTXR2	Conductive hearing loss	3.36772e-3	98	7899
Brain-Anteriorcingulatecortex-BA24	X395.3	2.0572	5.09907e-6	AUH	Nonrheumatic tricuspid valve disorders	1.80539e-2	76	7079
Ovary	X372	1.63354	5.13463e-6	BPIFA2	Disorders of conjunctiva	2.53784e-2	34	7798
Stomach	X317.11	-24.6462	5.14035e-6	ATRNL1	Alcoholic liver damage	6.46047e-2	67	7008
Cells-EBV-transformedlymphocytes	X345.12	4.8036	5.15007e-6	AKIRIN2	Partial epilepsy	1.64878e-2	122	6544
Brain-Anteriorcingulatecortex-BA24	X300.11	-1.89293	5.16392e-6	AGAP4	Generalized anxiety disorder	1.28826e-1	118	5392
Esophagus-GastroesophagealJunction	X578.8	-1.6225	5.20596e-6	CAPS	Hemorrhage of rectum and anus	2.69407e-2	192	6905
Esophagus-Muscularis	X646	91.4439	5.22982e-6	C1orf228	Other complications of pregnancy NEC	1.78714e-2	22	9082
Esophagus-Muscularis	X446.5	-4.2892	5.24188e-6	CARD8	Giant cell arteritis	1.43593e-2	23	6676
Heart-LeftVentricle	X737.1	-0.719857	5.26915e-6	AACS	Kyphosis (acquired)	8.15571e-2	44	7256
Esophagus-Muscularis	X646	3.13418	5.34309e-6	B3GNT6	Other complications of pregnancy NEC	1.13673e-2	22	9082
Adipose-Subcutaneous	X411.3	1.60472	5.49688e-6	C1orf50	Angina pectoris	1.67024e-2	425	5786
Esophagus-GastroesophagealJunction	X172.11	-1.79476	5.51209e-6	AUNIP	Melanomas of skin	2.09927e-3	161	7391
Cells-Transformedfibroblasts	X565	1.55041	5.54412e-6	ANKLE1	Anal and rectal conditions	1.10568e-1	237	7242
Heart-AtrialAppendage	X728	10.602	5.56200e-6	CALHM3	Disorders of muscle, ligament, and fascia	1.76170e-3	27	6730
Esophagus-GastroesophagealJunction	X705.1	-60.0843	5.56386e-6	BRK1	Dyshidrosis	6.21102e-2	20	8052
Esophagus-GastroesophagealJunction	X550.5	-1.69967	5.59993e-6	CALB2	Ventral hernia	1.47854e-2	181	7524
Artery-Coronary	X426.31	1.4215	5.60205e-6	B3GNTL1	Right bundle branch block	1.22367e-1	77	4456
Liver	X525.1	-0.0271973	5.63642e-6	APOD	Loss of teeth or edentulism	5.42839e-2	42	8243
Testis	X362.21	-0.960743	5.66544e-6	ARMS2	Macular degeneration, dry	4.20083e-1	71	7724
Lung	X574.12	3.80984	5.71794e-6	BOD1L1	Cholelithiasis with other cholecystitis	1.65865e-2	51	8056
Nerve-Tibial	X695.8	-18.2965	5.73507e-6	ACOXL	Other specified erythematous conditions	2.76840e-3	48	7590
Brain-Cortex	X264.1	-3.10562	5.77131e-6	AMZ1	Short stature	2.50945e-2	35	6138
Stomach	X695.41	5.39442	5.81624e-6	C5	Cutaneous lupus erythematosus	3.32808e-2	34	7590
Liver	X300.1	-4.03947	5.87985e-6	ATF7IP	Anxiety disorder	2.66133e-2	959	5392
AdrenalGland	X10	3.55619	5.88639e-6	AMFR	Tuberculosis	6.11858e-3	21	6607
